"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 02:28:25 UTC 2024","Wed Jan 10 02:29:39 UTC 2024","74150","","Wallet Home","","","","User should be able to hide/unhide all numbers in the page when clicking on any eye icon [MOBILE2-2537]",""
"passed","Wed Jan 10 02:27:52 UTC 2024","Wed Jan 10 02:28:25 UTC 2024","32563","","Wallet Home","","","","User successfully access wallet page from Wallet Navigation Bar [MOBILE2-2532 MOBILE2-2539 MOBILE2-2540]",""
"passed","Wed Jan 10 02:29:39 UTC 2024","Wed Jan 10 02:29:49 UTC 2024","10069","","Wallet Home","","","","User successfully redirected to portfolio page when click portfolio button [MOBILE2-2541]",""
"passed","Wed Jan 10 02:29:49 UTC 2024","Wed Jan 10 02:30:28 UTC 2024","38814","","Wallet Home","","","","User should be able to see IDR, USD, Crypto, US Stocks card on the Wallet Card Carousel section [MOBILE2-2542 MOBILE2-2543 MOBILE2-2544 MOBILE2-2545]",""
"passed","Wed Jan 10 02:27:14 UTC 2024","Wed Jan 10 02:27:23 UTC 2024","8391","","Wallet Home","","","","User unsuccessfully access wallet page before login and can not see asset summary section [MOBILE2-2533 MOBILE2-2831]",""
"passed","Wed Jan 10 02:30:59 UTC 2024","Wed Jan 10 02:31:33 UTC 2024","34074","","Wallet Home","","","","User should be able to see Owned asset for Crypto when click Crypto tab [MOBILE2-2547]",""
"broken","Wed Jan 10 02:31:33 UTC 2024","Wed Jan 10 02:32:21 UTC 2024","47762","","Wallet Home","","","","User should be able to see Owned asset for US Stock when click US Stock tab [MOBILE2-2546]",""
"passed","Wed Jan 10 02:30:53 UTC 2024","Wed Jan 10 02:30:59 UTC 2024","5977","","Wallet Home","","","","Users should be able to see empty state when have no assets for US Stock [MOBILE2-2548]",""
"passed","Wed Jan 10 02:27:23 UTC 2024","Wed Jan 10 02:27:52 UTC 2024","29598","","Wallet Home","","","","Unverified user can not see asset summary section [MOBILE2-2630]",""
"passed","Wed Jan 10 02:30:28 UTC 2024","Wed Jan 10 02:30:53 UTC 2024","25199","","Wallet Home","","","","Users should be able to see empty state when have no assets for Crypto [MOBILE2-2534]",""
