"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Wallet - IDR Wallet","","0","1","4","0","0"
"","Sign Up","","0","1","2","0","0"
"","Wallet - Crypto Wallet - Send Coin","","0","5","0","0","0"
"","Login","","0","2","1","0","0"
"","Home","","0","0","7","0","0"
"","Wallet - IDR Wallet - Withdraw","","0","7","4","0","0"
"","Forgot Password","","0","0","2","0","0"
"","Profile - Change Password","","0","2","2","0","0"
"","Wallet - IDR Wallet - Deposit","","0","7","10","0","0"
"","Profile - Google Authenticator","","0","0","1","0","0"
"","Profile","","0","0","8","0","0"
"","Wallet - Crypto Wallet - Receive Coin","","0","0","2","0","0"
"","Profile - PIN","","0","0","1","0","0"
"","Wallet Home","","0","9","1","0","0"
"","Profile - Phone Number","","0","0","4","0","0"
"","Profile - My Account","","0","1","2","0","0"
"","Wallet - USD Wallet","","0","5","0","0","0"
"","Home Non-login","","0","0","1","0","0"
