"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 16 18:59:22 UTC 2024","Tue Jan 16 18:59:45 UTC 2024","23348","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw Bank transfer/Ewallet/Internal Transfer when input amount above the maximum withdraw [MOBILE2-2204]",""
"broken","Tue Jan 16 18:54:13 UTC 2024","Tue Jan 16 18:54:20 UTC 2024","7854","","Wallet - IDR Wallet","","","","User successfully redirected to Deposit page when click Deposit [MOBILE2-2565]",""
"broken","Tue Jan 16 18:29:41 UTC 2024","Tue Jan 16 18:29:59 UTC 2024","17616","","Profile - Setup Withdrawal Account","","","","Unverified user successfully redirected to verify account page when click set up withdrawal account menu [MOBILE2-1130 MOBILE2-2114]",""
"passed","Tue Jan 16 19:10:04 UTC 2024","Tue Jan 16 19:10:10 UTC 2024","5912","","Wallet Home","","","","Users should be able to see empty state when have no assets for US Stock [MOBILE2-2548]",""
"passed","Tue Jan 16 18:28:01 UTC 2024","Tue Jan 16 18:28:04 UTC 2024","2791","","Profile","","","","User successfully redirected to set up withdrawal account page when click set up withdrawal account menu [MOBILE2-1049]",""
"passed","Tue Jan 16 18:57:45 UTC 2024","Tue Jan 16 18:58:01 UTC 2024","16539","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw internal transfer with saving an address previously saved address [MOBILE2-2216]",""
"passed","Tue Jan 16 19:05:45 UTC 2024","Tue Jan 16 19:06:26 UTC 2024","41520","","Wallet Home","","","","Unverified user can not see asset summary section [MOBILE2-2630]",""
"broken","Tue Jan 16 18:58:58 UTC 2024","Tue Jan 16 18:59:22 UTC 2024","23457","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw internal transfer/Bank transfer/Ewallet when input amount is under minimum [MOBILE2-2203]",""
"passed","Tue Jan 16 18:45:50 UTC 2024","Tue Jan 16 18:46:19 UTC 2024","29281","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP MANDIRI) User successfully submit deposit 25mio to 49,999mio with BSS VA [MOBILE2-1770]",""
"broken","Tue Jan 16 18:30:38 UTC 2024","Tue Jan 16 18:31:43 UTC 2024","64107","","Profile - Setup Withdrawal Account","","","","User successfully save and delete account number [MOBILE2-1153 MOBILE2-1180]",""
"broken","Tue Jan 16 18:14:31 UTC 2024","Tue Jan 16 18:14:33 UTC 2024","1422","","Home","","","","User successfully redirected to referral page when click referral entrypoint on homecircle [MOBILE2-1534]",""
"passed","Tue Jan 16 18:22:34 UTC 2024","Tue Jan 16 18:22:38 UTC 2024","4351","","Profile - My Account","","","","User successfully redirected to live chat web view page when click live chat here link [MOBILE2-1137]",""
"passed","Tue Jan 16 18:42:42 UTC 2024","Tue Jan 16 18:42:59 UTC 2024","16821","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767]",""
"passed","Tue Jan 16 18:44:41 UTC 2024","Tue Jan 16 18:45:50 UTC 2024","68460","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP MANDIRI) User successfully submit deposit Rp10.000 to 24,999mio with Mandiri VA [MOBILE2-1771]",""
"passed","Tue Jan 16 18:38:26 UTC 2024","Tue Jan 16 18:39:28 UTC 2024","62267","","Wallet - Crypto Wallet - Send Coin","","","","User unsuccessfully send coin when input amount coin is under minimum [MOBILE2-2277]",""
"passed","Tue Jan 16 18:34:16 UTC 2024","Tue Jan 16 18:34:50 UTC 2024","33413","","Sign Up","","","","User can not sign up if it doesnt meet all validation password [MOBILE2-15]",""
"broken","Tue Jan 16 19:01:48 UTC 2024","Tue Jan 16 19:02:24 UTC 2024","36063","","Wallet - USD Wallet","","","","User should be able see balance breakdown USD [MOBILE2-2569]",""
"passed","Tue Jan 16 18:46:50 UTC 2024","Tue Jan 16 18:47:44 UTC 2024","54309","","Wallet - IDR Wallet - Deposit","","","","(VIP) User successfully submit deposit with virtual account except BCA/Mandiri [MOBILE2-1777]",""
"passed","Tue Jan 16 19:07:11 UTC 2024","Tue Jan 16 19:08:31 UTC 2024","79633","","Wallet Home","","","","User should be able to hide/unhide all numbers in the page when clicking on any eye icon [MOBILE2-2537]",""
"passed","Tue Jan 16 19:08:31 UTC 2024","Tue Jan 16 19:08:42 UTC 2024","10922","","Wallet Home","","","","User successfully redirected to portfolio page when click portfolio button [MOBILE2-2541]",""
"passed","Tue Jan 16 19:06:26 UTC 2024","Tue Jan 16 19:07:11 UTC 2024","44968","","Wallet Home","","","","User successfully access wallet page from Wallet Navigation Bar [MOBILE2-2532 MOBILE2-2539 MOBILE2-2540]",""
"passed","Tue Jan 16 18:08:23 UTC 2024","Tue Jan 16 18:08:39 UTC 2024","16206","","Home Non-login","","","","User can skip welcome screen [MOBILE2-1381]",""
"passed","Tue Jan 16 18:09:22 UTC 2024","Tue Jan 16 18:10:01 UTC 2024","38893","","Home","","","","User should see section favorite, market, and learning hub [MOBILE2-334 MOBILE2-343 MOBILE2-344]",""
"broken","Tue Jan 16 18:54:20 UTC 2024","Tue Jan 16 18:54:28 UTC 2024","7279","","Wallet - IDR Wallet","","","","User successfully redirected to Withdraw page when click Withdraw [MOBILE2-2566]",""
"passed","Tue Jan 16 18:28:11 UTC 2024","Tue Jan 16 18:28:14 UTC 2024","3024","","Profile","","","","User successfully redirected to referrals page when click referral program menu [MOBILE2-1131]",""
"passed","Tue Jan 16 18:24:08 UTC 2024","Tue Jan 16 18:24:25 UTC 2024","17850","","Profile - Phone Number","","","","User successfully add phone number use a number with another country code [MOBILE2-128]",""
"broken","Tue Jan 16 18:14:33 UTC 2024","Tue Jan 16 18:14:35 UTC 2024","2350","","Home","","","","User successfully redirected to live chat web view when click live chat entrypoint on homecircle [MOBILE2-1535]",""
"passed","Tue Jan 16 18:28:09 UTC 2024","Tue Jan 16 18:28:11 UTC 2024","2346","","Profile","","","","User successfully redirected to help center page when click help center menu [MOBILE2-1052]",""
"passed","Tue Jan 16 18:20:17 UTC 2024","Tue Jan 16 18:20:59 UTC 2024","42505","","Profile - Google Authenticator","","","","User successfully deactivated and activated google authenticator [MOBILE2-1186 MOBILE2-1187]",""
"passed","Tue Jan 16 18:19:19 UTC 2024","Tue Jan 16 18:19:27 UTC 2024","7854","","Profile - Change Password","","","","User cant change password if old password wrong [MOBILE2-1207]",""
