"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 18:03:56 UTC 2024","Fri Mar 01 18:04:32 UTC 2024","35937","","Wallet - Transaction History - US Stock","","","","BETA-V3 User can unselect filter the transaction history Stock [MOBILE2-3142 MOBILE2-3144]",""
"passed","Fri Mar 01 16:07:05 UTC 2024","Fri Mar 01 16:07:24 UTC 2024","19292","","Crypto - Discovery","","","","BETA-V3 User can see recommend user to some coins with predefined algo [MOBILE2-3556]",""
"passed","Fri Mar 01 17:41:18 UTC 2024","Fri Mar 01 17:41:34 UTC 2024","15514","","Wallet - Transaction History - General","","","","BETA-V3 User can filter the transaction history Asset Crypto with transaction type Sell [MOBILE2-2950]",""
"passed","Fri Mar 01 16:24:59 UTC 2024","Fri Mar 01 16:26:33 UTC 2024","93921","","Profile - Change Password","","","","BETA User successfully change and create new password [MOBILE2-2356]",""
"passed","Fri Mar 01 17:16:56 UTC 2024","Fri Mar 01 17:17:43 UTC 2024","46814","","Wallet - IDR Wallet","","","","BETA-V3 User should be able see empty state on IDR Card page when no transaction state [MOBILE2-2567]",""
"passed","Fri Mar 01 18:34:51 UTC 2024","Fri Mar 01 18:35:12 UTC 2024","20433","","Wallet - USD Wallet","","","","BETA-V3 User successfully redirected to transaction history USD page when click see all [MOBILE2-2571]",""
"passed","Fri Mar 01 16:58:01 UTC 2024","Fri Mar 01 16:58:26 UTC 2024","25456","","Wallet - Crypto Wallet","","","","BETA-V3 User should be able to see the Send coin transaction history [MOBILE2-2559]",""
"passed","Fri Mar 01 16:49:09 UTC 2024","Fri Mar 01 16:51:07 UTC 2024","117802","","Wallet - Crypto - Transaction Detail","","","","BETA-V3 User should be able to see transaction detail of Receive Crypto [MOBILE2-3329]",""
"passed","Fri Mar 01 18:41:53 UTC 2024","Fri Mar 01 18:42:11 UTC 2024","18867","","Wallet - USD Wallet - Yield","","","","BETA-V3 User should be able to see total yield are rounded down to 2 decimals [MOBILE2-3356]",""
"passed","Fri Mar 01 18:06:33 UTC 2024","Fri Mar 01 18:07:13 UTC 2024","40161","","Wallet - Transaction History - USD","","","","BETA-V3 User successfully redirected to USD transaction detail page [MOBILE2-3074]",""
"passed","Fri Mar 01 17:24:40 UTC 2024","Fri Mar 01 17:25:48 UTC 2024","67773","","Wallet - Transaction History - Crypto","","","","BETA-V3 User successfully redirected to Crypto wallet transaction history [MOBILE2-3103]",""
"broken","Fri Mar 01 17:23:11 UTC 2024","Fri Mar 01 17:23:20 UTC 2024","8381","","Wallet - IDR Wallet - Withdraw","","","","BETA User successfully withdraw IDR using E-Wallet (default toggle receive amount: active and 2FA active) [MOBILE2-2186]",""
