"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Wallet - USD Wallet - Buy/Sell","","0","0","6","0","0"
"","Wallet - IDR Wallet - Withdraw","","0","1","7","0","0"
"","Wallet - Crypto Wallet - Send Coin","","0","0","2","0","0"
"","Wallet - Transaction History - General","","0","0","6","0","0"
"","Profile - Change Password","","0","1","1","0","0"
"","Profile - Setup Withdrawal Account","","0","0","1","0","0"
"","Wallet Home","","0","0","1","0","0"
"","Sign Up","","0","0","1","0","0"
"","Wallet - USD Wallet","","0","0","7","0","0"
"","Login","","0","0","1","0","0"
"","Wallet - IDR Wallet - Deposit","","0","0","2","0","0"
"","Profile - My Account","","0","0","1","0","0"
"","Forgot Password","","0","0","1","0","0"
"","Wallet - Crypto Wallet - Receive Coin","","0","0","1","0","0"
