"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 25 16:48:06 UTC 2024","Thu Apr 25 16:48:40 UTC 2024","33572","","Watchlist","","","","User can see watchlist asset stocks page [MOBILE2-3638] | BETA-V3",""
"passed","Thu Apr 25 15:21:03 UTC 2024","Thu Apr 25 15:21:16 UTC 2024","12154","","Wallet - IDR Wallet","","","","User successfully redirected to transaction history IDR page when click see all [MOBILE2-2560] | BETA-V3",""
"passed","Thu Apr 25 16:37:51 UTC 2024","Thu Apr 25 16:38:10 UTC 2024","19836","","Wallet - USD Wallet","","","","User should be able see last 10 transaction history on USD Card page [MOBILE2-2570] | BETA-V3",""
"passed","Thu Apr 25 15:29:10 UTC 2024","Thu Apr 25 15:29:34 UTC 2024","24274","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with transaction type buy [MOBILE2-3161] | BETA-V3",""
"passed","Thu Apr 25 14:50:56 UTC 2024","Thu Apr 25 14:51:50 UTC 2024","53413","","Wallet - Crypto Wallet - Send Coin #1","","","","User can not send coin if user not yet add phone number but verifed [MOBILE2-2225] | BETA",""
"passed","Thu Apr 25 14:02:32 UTC 2024","Thu Apr 25 14:03:26 UTC 2024","54603","","Crypto - Discovery","","","","User successfully redirected to discover crypto page [MOBILE2-3615] | BETA-V3",""
"broken","Thu Apr 25 16:15:13 UTC 2024","Thu Apr 25 16:16:11 UTC 2024","57769","","Wallet - US Stock - Transaction Detail","","","","User should be able to see transaction detail of Market Buy/Sell Stock status Canceled [MOBILE2-3336] | BETA-V3",""
"passed","Thu Apr 25 16:02:10 UTC 2024","Thu Apr 25 16:02:41 UTC 2024","30902","","Wallet - Transaction History - US Stock","","","","User can filter the transaction history Stock with select multiple transaction type and status [MOBILE2-3132] | BETA-V3",""
"broken","Thu Apr 25 14:30:16 UTC 2024","Thu Apr 25 14:33:16 UTC 2024","180009","","Profile - Change Password","","","","User successfully change and create new password [MOBILE2-2356] | BETA",""
"passed","Thu Apr 25 15:10:14 UTC 2024","Thu Apr 25 15:10:33 UTC 2024","18351","","Wallet - IDR Wallet - Deposit","","","","User should be able see the status deposit via Bank Transfer is in process [MOBILE2-176] | BETA",""
"broken","Thu Apr 25 14:37:43 UTC 2024","Thu Apr 25 14:38:47 UTC 2024","63664","","Profile - Setup Withdrawal Account","","","","Unverified user successfully redirected to verify account page when click set up withdrawal account menu [MOBILE2-1130 MOBILE2-2114] | BETA",""
"passed","Thu Apr 25 16:40:59 UTC 2024","Thu Apr 25 16:42:05 UTC 2024","66197","","Wallet - USD Wallet - Yield","","","","User should be able to see entrypoint inactive USD Yield on USD Card page [MOBILE2-3343] | BETA-V3",""
"passed","Thu Apr 25 14:57:03 UTC 2024","Thu Apr 25 14:57:43 UTC 2024","39732","","Wallet - Crypto - Transaction Detail","","","","User should be able to see transaction detail of Buy Crypto status Canceled [MOBILE2-3321] | BETA-V3",""
"broken","Thu Apr 25 15:23:41 UTC 2024","Thu Apr 25 15:24:50 UTC 2024","68445","","Wallet - IDR Wallet - Withdraw","","","","User cant withdraw IDR when doesnt have phone number and unverified [MOBILE2-2091] | BETA",""
"broken","Thu Apr 25 14:51:50 UTC 2024","Thu Apr 25 14:52:59 UTC 2024","69270","","Wallet - Crypto Wallet - Send Coin #1","","","","User cant send coin when doesnt have phone number and unverified [MOBILE2-2227] | BETA",""
"passed","Thu Apr 25 15:56:04 UTC 2024","Thu Apr 25 15:56:27 UTC 2024","23690","","Wallet - Transaction History - IDR","","","","User can't filter the transaction history IDR with select date more than 1 year [MOBILE2-3258] | BETA-V3",""
"passed","Thu Apr 25 14:19:32 UTC 2024","Thu Apr 25 14:21:19 UTC 2024","106401","","Crypto - Trading History","","","","User successfully redirected to order history crypto transaction detail page [MOBILE2-2733] | BETA-V3",""
"passed","Thu Apr 25 15:02:46 UTC 2024","Thu Apr 25 15:03:07 UTC 2024","21205","","Wallet - Crypto Wallet","","","","User should be able to see the Buy coins transaction history [MOBILE2-2555] | BETA-V3",""
"passed","Thu Apr 25 16:24:38 UTC 2024","Thu Apr 25 16:25:19 UTC 2024","40464","","Wallet - USD Wallet - Buy/Sell","","","","User successfully buy USD from entry point USD page [MOBILE2-2591] | BETA-V3",""
"passed","Thu Apr 25 15:34:02 UTC 2024","Thu Apr 25 15:34:24 UTC 2024","21854","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with transaction type reward [MOBILE2-3121] | BETA-V3",""
"passed","Thu Apr 25 14:59:16 UTC 2024","Thu Apr 25 14:59:56 UTC 2024","39774","","Wallet - Crypto - Transaction Detail","","","","User should be able to see transaction detail of Giveaway [MOBILE2-3331] | BETA-V3",""
"passed","Thu Apr 25 15:41:22 UTC 2024","Thu Apr 25 15:41:37 UTC 2024","14751","","Wallet - Transaction History - General","","","","User can filter the transaction history Balance IDR with status in process [MOBILE2-2931] | BETA-V3",""
"passed","Thu Apr 25 16:10:17 UTC 2024","Thu Apr 25 16:10:50 UTC 2024","32375","","Wallet - Transaction History - USD","","","","User can filter the transaction history USD with select multiple transaction type and status [MOBILE2-3077] | BETA-V3",""
"passed","Thu Apr 25 15:14:26 UTC 2024","Thu Apr 25 15:15:31 UTC 2024","64779","","Wallet - IDR Wallet - Transaction Detail","","","","User should be able to see transaction detail of Giveaway [MOBILE2-3304] | BETA-V3",""
"passed","Thu Apr 25 15:08:42 UTC 2024","Thu Apr 25 15:10:14 UTC 2024","92209","","Wallet - IDR Wallet - Deposit","","","","(VIP-MANDIRI) User successfully submit deposit with Transfer Bank [MOBILE2-1768] | BETA-V3",""
"passed","Thu Apr 25 16:45:00 UTC 2024","Thu Apr 25 16:45:25 UTC 2024","24792","","Wallet - USD Wallet - Yield","","","","User should be able to see total yield earned on transaction history [MOBILE2-3357] | BETA-V3",""
"passed","Thu Apr 25 15:23:02 UTC 2024","Thu Apr 25 15:23:41 UTC 2024","39055","","Wallet - IDR Wallet - Withdraw","","","","User cant withdraw IDR when doesnt have phone number but verified [MOBILE2-2090] | BETA",""
