"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 20 21:07:30 UTC 2024","Wed Mar 20 21:08:43 UTC 2024","72888","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Transfer Bank and see the status deposit via Bank Transfer is waiting for payment [MOBILE2-1705 MOBILE2-175] | PROD_ISS",""
"passed","Wed Mar 20 21:08:43 UTC 2024","Wed Mar 20 21:08:57 UTC 2024","13772","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | PROD_ISS",""
"passed","Wed Mar 20 21:10:38 UTC 2024","Wed Mar 20 21:10:53 UTC 2024","15254","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767] | PROD_ISS",""
"passed","Wed Mar 20 21:05:32 UTC 2024","Wed Mar 20 21:06:23 UTC 2024","51369","","Market - Price Alert","","","","User successfully set price alert [MOBILE2-2633] | PROD_ISS",""
"passed","Wed Mar 20 21:09:52 UTC 2024","Wed Mar 20 21:10:38 UTC 2024","46215","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1766] | PROD_ISS",""
"passed","Wed Mar 20 21:11:40 UTC 2024","Wed Mar 20 21:11:57 UTC 2024","16599","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232] | PROD_ISS",""
"passed","Wed Mar 20 21:11:08 UTC 2024","Wed Mar 20 21:11:25 UTC 2024","16708","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228 MOBILE2-183] | PROD_ISS",""
"passed","Wed Mar 20 21:08:57 UTC 2024","Wed Mar 20 21:09:52 UTC 2024","55095","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 49,999mio with BSS VA [MOBILE2-1707] | PROD_ISS",""
"passed","Wed Mar 20 21:10:53 UTC 2024","Wed Mar 20 21:11:08 UTC 2024","14481","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227] | PROD_ISS",""
"passed","Wed Mar 20 21:11:25 UTC 2024","Wed Mar 20 21:11:40 UTC 2024","15711","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_ISS",""
