"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 09 18:40:59 UTC 2024","Fri Feb 09 18:41:16 UTC 2024","16622","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767]",""
"passed","Fri Feb 09 18:44:47 UTC 2024","Fri Feb 09 18:45:01 UTC 2024","13696","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP) User successfully submit deposit with virtual account except BCA/Mandiri [MOBILE2-1774]",""
"passed","Fri Feb 09 19:05:36 UTC 2024","Fri Feb 09 19:06:17 UTC 2024","40712","","Wallet Home","","","","User should be able to see IDR, USD, Crypto, US Stocks card on the Wallet Card Carousel section [MOBILE2-2542 MOBILE2-2543 MOBILE2-2544 MOBILE2-2545]",""
"passed","Fri Feb 09 19:02:10 UTC 2024","Fri Feb 09 19:02:31 UTC 2024","21362","","Wallet Home","","","","User unsuccessfully access wallet page before login and can not see asset summary section [MOBILE2-2533 MOBILE2-2831]",""
"passed","Fri Feb 09 18:46:44 UTC 2024","Fri Feb 09 18:47:31 UTC 2024","46824","","Wallet - IDR Wallet - Deposit","","","","User successfully see IDR Deposit Address and QR Code for Internal Transfer [MOBILE2-224]",""
"passed","Fri Feb 09 18:26:28 UTC 2024","Fri Feb 09 18:26:30 UTC 2024","2231","","Profile","","","","User successfully redirected to live chat web view page when click live chat menu [MOBILE2-1051]",""
"passed","Fri Feb 09 18:44:31 UTC 2024","Fri Feb 09 18:44:47 UTC 2024","16285","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP MANDIRI) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1773]",""
"passed","Fri Feb 09 18:59:59 UTC 2024","Fri Feb 09 19:00:17 UTC 2024","17854","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Asset Pocket [MOBILE2-3033]",""
"passed","Fri Feb 09 18:15:42 UTC 2024","Fri Feb 09 18:15:57 UTC 2024","15021","","Login","","","","User successfully redirected to sign up page when click Sign Up [MOBILE2-297]",""
"passed","Fri Feb 09 18:28:26 UTC 2024","Fri Feb 09 18:29:02 UTC 2024","36083","","Profile - Setup Withdrawal Account","","","","User cant set wd account when havent add phone number and unverified [MOBILE2-2115]",""
"passed","Fri Feb 09 18:49:20 UTC 2024","Fri Feb 09 18:50:13 UTC 2024","52337","","Wallet - IDR Wallet - Deposit","","","","User cant deposit by E-Wallet (DANA) with above the maximum deposit limit [MOBILE2-242]",""
"passed","Fri Feb 09 19:07:05 UTC 2024","Fri Feb 09 19:07:50 UTC 2024","45033","","Wallet Home","","","","User should be able to see Owned asset for Crypto when click Crypto tab [MOBILE2-2547]",""
"passed","Fri Feb 09 18:47:41 UTC 2024","Fri Feb 09 18:48:31 UTC 2024","49649","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR by bank transfer with under minimum amount [MOBILE2-233]",""
"passed","Fri Feb 09 18:48:31 UTC 2024","Fri Feb 09 18:49:20 UTC 2024","49325","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR by Virtual Account with under minimum amount [MOBILE2-235]",""
"broken","Fri Feb 09 18:54:29 UTC 2024","Fri Feb 09 18:54:58 UTC 2024","28485","","Wallet - IDR Wallet - Withdraw","","","","User can add withdraw method Transfer Bank on Withdraw Method page [MOBILE2-2102]",""
"passed","Fri Feb 09 18:16:40 UTC 2024","Fri Feb 09 18:17:32 UTC 2024","52193","","Profile - Change Password","","","","User cant change password if it doesnt meet all validation password [MOBILE2-1198]",""
"passed","Fri Feb 09 18:47:31 UTC 2024","Fri Feb 09 18:47:41 UTC 2024","10853","","Wallet - IDR Wallet - Deposit","","","","User cant deposit by E-Wallet (OVO) with under minimum amount [MOBILE2-234]",""
"passed","Fri Feb 09 18:32:15 UTC 2024","Fri Feb 09 18:32:27 UTC 2024","11835","","Sign Up","","","","User can click sign up [MOBILE2-1379]",""
"passed","Fri Feb 09 18:57:50 UTC 2024","Fri Feb 09 18:58:07 UTC 2024","16914","","Wallet - Transaction History - General","","","","User can see total filter notification in the icon filter and reset filter transaction history tab Balance [MOBILE2-3023 MOBILE2-2767]",""
"passed","Fri Feb 09 18:59:19 UTC 2024","Fri Feb 09 18:59:41 UTC 2024","22129","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Asset Crypto [MOBILE2-3030]",""
"passed","Fri Feb 09 18:36:35 UTC 2024","Fri Feb 09 18:37:38 UTC 2024","63531","","Wallet - Crypto Wallet - Send Coin","","","","User unsuccessfully send coin when input amount coin is under minimum [MOBILE2-2277]",""
"passed","Fri Feb 09 19:06:58 UTC 2024","Fri Feb 09 19:07:05 UTC 2024","6604","","Wallet Home","","","","Users should be able to see empty state when have no assets for US Stock [MOBILE2-2548]",""
"passed","Fri Feb 09 18:35:49 UTC 2024","Fri Feb 09 18:36:35 UTC 2024","45330","","Wallet - Crypto Wallet - Send Coin","","","","User cant send coin when have phone number but unverified [MOBILE2-2226]",""
"broken","Fri Feb 09 18:10:06 UTC 2024","Fri Feb 09 18:10:35 UTC 2024","28991","","Home","","","","Users successfully redirected to market page when click ""See All"" [MOBILE2-332 MOBILE2-1529]",""
"passed","Fri Feb 09 18:45:54 UTC 2024","Fri Feb 09 18:46:44 UTC 2024","49921","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR when have phone number but unverified [MOBILE2-188]",""
"broken","Fri Feb 09 18:54:58 UTC 2024","Fri Feb 09 18:55:26 UTC 2024","27883","","Wallet - IDR Wallet - Withdraw","","","","User can add withdraw method E-Wallet on Withdraw Method page [MOBILE2-2103]",""
"passed","Fri Feb 09 19:04:01 UTC 2024","Fri Feb 09 19:04:07 UTC 2024","6883","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-2538 MOBILE2-2646]",""
"broken","Fri Feb 09 18:55:49 UTC 2024","Fri Feb 09 18:56:12 UTC 2024","23453","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw Bank transfer/Ewallet/Internal Transfer when input amount above the maximum withdraw [MOBILE2-2204]",""
"passed","Fri Feb 09 18:25:42 UTC 2024","Fri Feb 09 18:26:18 UTC 2024","35841","","Profile","","","","User should be able to see name and user ID on header [MOBILE2-1119]",""
"passed","Fri Feb 09 19:00:33 UTC 2024","Fri Feb 09 19:00:52 UTC 2024","19195","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Pending Order US Stock [MOBILE2-3035]",""
"passed","Fri Feb 09 18:54:02 UTC 2024","Fri Feb 09 18:54:08 UTC 2024","5547","","Wallet - IDR Wallet - Withdraw","","","","User cant submit withdraw internal transfer when input invalid address [MOBILE2-2195]",""
"passed","Fri Feb 09 18:59:41 UTC 2024","Fri Feb 09 18:59:59 UTC 2024","18337","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Asset US Stock [MOBILE2-3032]",""
"passed","Fri Feb 09 19:06:17 UTC 2024","Fri Feb 09 19:06:58 UTC 2024","41614","","Wallet Home","","","","Users should be able to see empty state when have no assets for Crypto [MOBILE2-2534]",""
"passed","Fri Feb 09 18:34:00 UTC 2024","Fri Feb 09 18:34:49 UTC 2024","48676","","Wallet - Crypto Wallet - Receive Coin","","","","User successfully receive coins from Internal [MOBILE2-1621]",""
"passed","Fri Feb 09 18:20:02 UTC 2024","Fri Feb 09 18:20:37 UTC 2024","35366","","Profile - My Account","","","","User can see detail information account (Verified Account) [MOBILE2-1054]",""
"broken","Fri Feb 09 18:31:02 UTC 2024","Fri Feb 09 18:31:30 UTC 2024","27404","","Profile - Setup Withdrawal Account","","","","User should not be able to add same e-wallet [MOBILE2-1168]",""
"passed","Fri Feb 09 19:05:26 UTC 2024","Fri Feb 09 19:05:36 UTC 2024","9909","","Wallet Home","","","","User successfully redirected to portfolio page when click portfolio button [MOBILE2-2541]",""
"passed","Fri Feb 09 18:26:25 UTC 2024","Fri Feb 09 18:26:28 UTC 2024","3062","","Profile","","","","User successfully redirected to security page when click security menu [MOBILE2-1050]",""
"passed","Fri Feb 09 19:03:16 UTC 2024","Fri Feb 09 19:04:01 UTC 2024","44290","","Wallet Home","","","","User successfully access wallet page from Wallet Navigation Bar [MOBILE2-2532 MOBILE2-2539 MOBILE2-2540]",""
"passed","Fri Feb 09 18:32:46 UTC 2024","Fri Feb 09 18:33:20 UTC 2024","33966","","Sign Up","","","","User can not sign up if it doesnt meet all validation password [MOBILE2-15]",""
"passed","Fri Feb 09 18:57:05 UTC 2024","Fri Feb 09 18:57:50 UTC 2024","45765","","Wallet - Transaction History - General","","","","User can see a list of all my transactions history [MOBILE2-2647]",""
"passed","Fri Feb 09 18:26:18 UTC 2024","Fri Feb 09 18:26:21 UTC 2024","3555","","Profile","","","","User successfully redirected to mission page when click mission menu [MOBILE2-1672]",""
"passed","Fri Feb 09 18:18:36 UTC 2024","Fri Feb 09 18:19:19 UTC 2024","42601","","Profile - Google Authenticator","","","","User successfully deactivated and activated google authenticator [MOBILE2-1186 MOBILE2-1187]",""
"passed","Fri Feb 09 18:24:06 UTC 2024","Fri Feb 09 18:24:59 UTC 2024","52494","","Profile - PIN","","","","User can setup PIN for security at reku account [MOBILE2-1211]",""
"broken","Fri Feb 09 18:26:32 UTC 2024","Fri Feb 09 18:26:56 UTC 2024","23494","","Profile","","","","User successfully redirected to referrals page when click referral program menu [MOBILE2-1131]",""
"broken","Fri Feb 09 18:10:35 UTC 2024","Fri Feb 09 18:11:04 UTC 2024","29069","","Home","","","","User successfully redirected to staking page when click staking entrypoint on homecircle [MOBILE2-1532]",""
"broken","Fri Feb 09 18:07:40 UTC 2024","Fri Feb 09 18:08:23 UTC 2024","42821","","Home Non-login","","","","User can skip welcome screen [MOBILE2-1381]",""
"passed","Fri Feb 09 18:22:42 UTC 2024","Fri Feb 09 18:23:10 UTC 2024","27654","","Profile - Phone Number","","","","User successfully add phone number using old phone number [MOBILE2-130]",""
"passed","Fri Feb 09 18:22:23 UTC 2024","Fri Feb 09 18:22:42 UTC 2024","19018","","Profile - Phone Number","","","","User successfully add phone number use a number with another country code [MOBILE2-128]",""
"passed","Fri Feb 09 18:13:17 UTC 2024","Fri Feb 09 18:13:33 UTC 2024","15907","","Forgot Password","","","","User successfully submit forget/reset password [MOBILE2-310]",""
"passed","Fri Feb 09 19:00:52 UTC 2024","Fri Feb 09 19:01:08 UTC 2024","16136","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Pending Order Pocket [MOBILE2-3036]",""
"passed","Fri Feb 09 18:54:12 UTC 2024","Fri Feb 09 18:54:29 UTC 2024","16678","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw internal transfer with saving an address previously saved address [MOBILE2-2216]",""
"passed","Fri Feb 09 18:20:37 UTC 2024","Fri Feb 09 18:20:43 UTC 2024","5648","","Profile - My Account","","","","User successfully redirected to live chat web view page when click live chat here link [MOBILE2-1137]",""
"passed","Fri Feb 09 18:21:31 UTC 2024","Fri Feb 09 18:22:23 UTC 2024","52354","","Profile - Phone Number","","","","User succesfully add and delete a phone number [MOBILE2-129 MOBILE2-1172 MOBILE2-2353]",""
"broken","Fri Feb 09 18:30:35 UTC 2024","Fri Feb 09 18:31:02 UTC 2024","27509","","Profile - Setup Withdrawal Account","","","","User successfully save and delete e-wallet number [MOBILE2-1164 MOBILE2-1179]",""
"passed","Fri Feb 09 18:26:56 UTC 2024","Fri Feb 09 18:27:39 UTC 2024","43303","","Profile","","","","User successfully logout from application when click log out button [MOBILE2-1127 MOBILE2-1281]",""
"passed","Fri Feb 09 18:37:59 UTC 2024","Fri Feb 09 18:38:18 UTC 2024","19645","","Wallet - Crypto Wallet - Send Coin","","","","User unsuccessfully send coin when input amount coin above the available coin balance [MOBILE2-2282]",""
"passed","Fri Feb 09 18:54:08 UTC 2024","Fri Feb 09 18:54:12 UTC 2024","4782","","Wallet - IDR Wallet - Withdraw","","","","User cant submit withdraw internal transfer when input own address [MOBILE2-2196]",""
"passed","Fri Feb 09 18:32:27 UTC 2024","Fri Feb 09 18:32:46 UTC 2024","18896","","Sign Up","","","","User can not sign up if email invalid [MOBILE2-16]",""
"passed","Fri Feb 09 18:53:16 UTC 2024","Fri Feb 09 18:54:02 UTC 2024","45950","","Wallet - IDR Wallet - Withdraw","","","","User can add new address to withdraw internal transfer [MOBILE2-2192]",""
"passed","Fri Feb 09 18:23:10 UTC 2024","Fri Feb 09 18:23:24 UTC 2024","14426","","Profile - Phone Number","","","","User unsuccesfully add a phone number if phone number has been registered [MOBILE2-1751]",""
"passed","Fri Feb 09 18:13:33 UTC 2024","Fri Feb 09 18:13:52 UTC 2024","19050","","Forgot Password","","","","User should be able to see the suspend page if they submit a forgot password to an e-mail that is being suspended [MOBILE2-1652]",""
"passed","Fri Feb 09 18:44:02 UTC 2024","Fri Feb 09 18:44:31 UTC 2024","28827","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP MANDIRI) User successfully submit deposit 25mio to 49,999mio with BSS VA [MOBILE2-1770]",""
"passed","Fri Feb 09 18:15:23 UTC 2024","Fri Feb 09 18:15:42 UTC 2024","19245","","Login","","","","User successfully sign in using email and password (non-2FA) [MOBILE2-1380 MOBILE2-279]",""
"passed","Fri Feb 09 18:17:32 UTC 2024","Fri Feb 09 18:17:41 UTC 2024","8874","","Profile - Change Password","","","","User cant change password if old password wrong [MOBILE2-1207]",""
"passed","Fri Feb 09 18:45:01 UTC 2024","Fri Feb 09 18:45:54 UTC 2024","52806","","Wallet - IDR Wallet - Deposit","","","","(VIP) User successfully submit deposit with virtual account except BCA/Mandiri [MOBILE2-1777]",""
"passed","Fri Feb 09 18:56:12 UTC 2024","Fri Feb 09 18:56:21 UTC 2024","8629","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw internal transfer/Bank transfer/Ewallet when input amount above available balance [MOBILE2-2205]",""
"passed","Fri Feb 09 18:52:41 UTC 2024","Fri Feb 09 18:53:16 UTC 2024","35590","","Wallet - IDR Wallet - Withdraw","","","","User cant withdraw IDR when have phone number but unverified [MOBILE2-2092]",""
"passed","Fri Feb 09 19:04:07 UTC 2024","Fri Feb 09 19:05:26 UTC 2024","78580","","Wallet Home","","","","User should be able to hide/unhide all numbers in the page when clicking on any eye icon [MOBILE2-2537]",""
"passed","Fri Feb 09 18:17:41 UTC 2024","Fri Feb 09 18:17:51 UTC 2024","9981","","Profile - Change Password","","","","User successfully change and create new password (using 2FA) [MOBILE2-2357]",""
"broken","Fri Feb 09 18:51:00 UTC 2024","Fri Feb 09 18:51:53 UTC 2024","53023","","Wallet - IDR Wallet","","","","User should be able see balance breakdown IDR [MOBILE2-2552]",""
"broken","Fri Feb 09 18:29:02 UTC 2024","Fri Feb 09 18:30:07 UTC 2024","64996","","Profile - Setup Withdrawal Account","","","","User successfully save and delete account number [MOBILE2-1153 MOBILE2-1180]",""
"passed","Fri Feb 09 18:37:38 UTC 2024","Fri Feb 09 18:37:59 UTC 2024","20459","","Wallet - Crypto Wallet - Send Coin","","","","User unsuccessfully send coin when input amount coin above the maximum quantity to send [MOBILE2-2281]",""
"broken","Fri Feb 09 18:30:07 UTC 2024","Fri Feb 09 18:30:35 UTC 2024","28267","","Profile - Setup Withdrawal Account","","","","User should not be able to add same bank and account number [MOBILE2-1157]",""
"passed","Fri Feb 09 19:02:31 UTC 2024","Fri Feb 09 19:03:16 UTC 2024","45375","","Wallet Home","","","","Unverified user can not see asset summary section [MOBILE2-2630]",""
