"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 18:12:22 UTC 2024","Thu Apr 18 18:12:39 UTC 2024","16779","","Forgot Password","","","","User successfully submit forget/reset password [MOBILE2-310] | PROD_NGT",""
"passed","Thu Apr 18 18:10:07 UTC 2024","Thu Apr 18 18:10:21 UTC 2024","14719","","Home","","","","User successfully redirected to rekuiz page when click rekuiz entrypoint on homecircle [MOBILE2-1533] | PROD_NGT",""
"passed","Thu Apr 18 18:12:39 UTC 2024","Thu Apr 18 18:12:58 UTC 2024","18718","","Forgot Password","","","","User should be able to see the suspend page if they submit a forgot password to an e-mail that is being suspended [MOBILE2-1652] | PROD_NGT",""
"passed","Thu Apr 18 19:18:50 UTC 2024","Thu Apr 18 19:19:11 UTC 2024","20893","","Wallet Home","","","","User unsuccessfully access wallet page before login and can not see asset summary section [MOBILE2-2533 MOBILE2-2831] | PROD_NGT",""
"passed","Thu Apr 18 18:40:43 UTC 2024","Thu Apr 18 18:41:11 UTC 2024","27351","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin when input amount coin above the maximum quantity to send [MOBILE2-2281] | PROD_NGT",""
"passed","Thu Apr 18 18:22:50 UTC 2024","Thu Apr 18 18:23:30 UTC 2024","40424","","Profile - My Account","","","","User can see detail information account (Verified Account) [MOBILE2-1054] | PROD_NGT",""
"passed","Thu Apr 18 19:23:02 UTC 2024","Thu Apr 18 19:23:48 UTC 2024","46596","","Wallet Home","","","","Users should be able to see empty state when have no assets for Crypto [MOBILE2-2534] | PROD_NGT",""
"passed","Thu Apr 18 18:29:18 UTC 2024","Thu Apr 18 18:29:21 UTC 2024","2913","","Profile","","","","User successfully redirected to set up withdrawal account page when click set up withdrawal account menu [MOBILE2-1049] | PROD_NGT",""
"passed","Thu Apr 18 19:23:55 UTC 2024","Thu Apr 18 19:24:48 UTC 2024","52821","","Wallet Home","","","","User should be able to see Owned asset for Crypto when click Crypto tab [MOBILE2-2547] | PROD_NGT",""
"broken","Thu Apr 18 19:10:58 UTC 2024","Thu Apr 18 19:11:21 UTC 2024","23528","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw internal transfer/Bank transfer/Ewallet when input amount is under minimum [MOBILE2-2203] | PROD_NGT",""
"broken","Thu Apr 18 19:11:21 UTC 2024","Thu Apr 18 19:11:45 UTC 2024","23673","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw Bank transfer/Ewallet/Internal Transfer when input amount above the maximum withdraw [MOBILE2-2204] | PROD_NGT",""
"passed","Thu Apr 18 18:49:02 UTC 2024","Thu Apr 18 18:49:34 UTC 2024","31238","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant add new address to send coin internal/external without destination tag / memo id [MOBILE2-2526] | PROD_NGT",""
"passed","Thu Apr 18 19:16:15 UTC 2024","Thu Apr 18 19:16:38 UTC 2024","23257","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Asset Pocket [MOBILE2-3033] | PROD_NGT",""
"passed","Thu Apr 18 18:23:30 UTC 2024","Thu Apr 18 18:23:36 UTC 2024","6011","","Profile - My Account","","","","User successfully redirected to live chat web view page when click live chat here link [MOBILE2-1137] | PROD_NGT",""
"passed","Thu Apr 18 18:58:33 UTC 2024","Thu Apr 18 18:59:30 UTC 2024","56535","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR when have phone number but unverified [MOBILE2-188] | PROD_NGT",""
"broken","Thu Apr 18 19:10:00 UTC 2024","Thu Apr 18 19:10:30 UTC 2024","29677","","Wallet - IDR Wallet - Withdraw","","","","User can add withdraw method Transfer Bank on Withdraw Method page [MOBILE2-2102] | PROD_NGT",""
"passed","Thu Apr 18 19:01:59 UTC 2024","Thu Apr 18 19:02:31 UTC 2024","31246","","Wallet - IDR Wallet - Deposit","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232] | PROD_NGT",""
"passed","Thu Apr 18 18:56:57 UTC 2024","Thu Apr 18 18:57:15 UTC 2024","18503","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP MANDIRI) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1773] | PROD_NGT",""
"passed","Thu Apr 18 18:29:24 UTC 2024","Thu Apr 18 18:29:27 UTC 2024","2223","","Profile","","","","User successfully redirected to live chat web view page when click live chat menu [MOBILE2-1051] | PROD_NGT",""
"passed","Thu Apr 18 19:09:32 UTC 2024","Thu Apr 18 19:09:38 UTC 2024","6187","","Wallet - IDR Wallet - Withdraw","","","","User cant submit withdraw internal transfer when input invalid address [MOBILE2-2195] | PROD_NGT",""
"passed","Thu Apr 18 18:29:29 UTC 2024","Thu Apr 18 18:29:33 UTC 2024","3157","","Profile","","","","User successfully redirected to referrals page when click referral program menu [MOBILE2-1131] | PROD_NGT",""
"passed","Thu Apr 18 18:31:01 UTC 2024","Thu Apr 18 18:31:39 UTC 2024","37949","","Profile - Setup Withdrawal Account","","","","User cant set wd account when havent add phone number and unverified [MOBILE2-2115] | PROD_NGT",""
"passed","Thu Apr 18 19:19:11 UTC 2024","Thu Apr 18 19:20:02 UTC 2024","50491","","Wallet Home","","","","Unverified user can not see asset summary section [MOBILE2-2630] | PROD_NGT",""
"passed","Thu Apr 18 19:01:28 UTC 2024","Thu Apr 18 19:01:59 UTC 2024","30954","","Wallet - IDR Wallet - Deposit","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_NGT",""
"passed","Thu Apr 18 18:44:27 UTC 2024","Thu Apr 18 18:45:05 UTC 2024","37491","","Wallet - Crypto Wallet - Send Coin #2","","","","User can save address when submit send coin internal/external [MOBILE2-2239] | PROD_NGT",""
"passed","Thu Apr 18 19:20:48 UTC 2024","Thu Apr 18 19:20:56 UTC 2024","7523","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-2538 MOBILE2-2646] | PROD_NGT",""
"passed","Thu Apr 18 18:48:38 UTC 2024","Thu Apr 18 18:49:02 UTC 2024","24106","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant submit send coin internal/external when input own address [MOBILE2-2249] | PROD_NGT",""
"passed","Thu Apr 18 18:27:00 UTC 2024","Thu Apr 18 18:27:55 UTC 2024","54979","","Profile - PIN","","","","User can setup PIN for security at reku account [MOBILE2-1211] | PROD_NGT",""
"passed","Thu Apr 18 18:41:54 UTC 2024","Thu Apr 18 18:42:12 UTC 2024","17575","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant search by coin name, when the coin is not in the list of coins that have coin balance [MOBILE2-2221] | PROD_NGT",""
"passed","Thu Apr 18 18:24:16 UTC 2024","Thu Apr 18 18:25:14 UTC 2024","58240","","Profile - Phone Number","","","","User succesfully add and delete a phone number [MOBILE2-129 MOBILE2-1172 MOBILE2-2353] | PROD_NGT",""
"passed","Thu Apr 18 19:08:40 UTC 2024","Thu Apr 18 19:09:32 UTC 2024","51314","","Wallet - IDR Wallet - Withdraw","","","","User can add new address to withdraw internal transfer [MOBILE2-2192] | PROD_NGT",""
"passed","Thu Apr 18 19:13:49 UTC 2024","Thu Apr 18 19:14:08 UTC 2024","19800","","Wallet - Transaction History - General","","","","User can see total filter notification in the icon filter and reset filter transaction history tab Asset [MOBILE2-3024 MOBILE2-2766] | PROD_NGT",""
"passed","Thu Apr 18 19:16:38 UTC 2024","Thu Apr 18 19:16:58 UTC 2024","19408","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Pending Order Crypto [MOBILE2-3034] | PROD_NGT",""
"passed","Thu Apr 18 18:55:09 UTC 2024","Thu Apr 18 18:56:24 UTC 2024","75608","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP MANDIRI) User successfully submit deposit Rp10.000 to 24,999mio with Mandiri VA [MOBILE2-1771] | PROD_NGT",""
"passed","Thu Apr 18 19:06:38 UTC 2024","Thu Apr 18 19:07:22 UTC 2024","44059","","Wallet - IDR Wallet","","","","User should be able see balance breakdown IDR [MOBILE2-2552] | PROD_NGT",""
"passed","Thu Apr 18 19:03:43 UTC 2024","Thu Apr 18 19:04:44 UTC 2024","61111","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR by Virtual Account with under minimum amount [MOBILE2-235] | PROD_NGT",""
"passed","Thu Apr 18 18:20:30 UTC 2024","Thu Apr 18 18:20:41 UTC 2024","10509","","Profile - Change Password","","","","User successfully change and create new password (using 2FA) [MOBILE2-2357] | PROD_NGT",""
"passed","Thu Apr 18 19:02:43 UTC 2024","Thu Apr 18 19:03:43 UTC 2024","60702","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR by bank transfer with under minimum amount [MOBILE2-233] | PROD_NGT",""
"broken","Thu Apr 18 18:33:44 UTC 2024","Thu Apr 18 18:34:12 UTC 2024","27514","","Profile - Setup Withdrawal Account","","","","User should not be able to add same e-wallet [MOBILE2-1168] | PROD_NGT",""
"passed","Thu Apr 18 18:49:34 UTC 2024","Thu Apr 18 18:50:06 UTC 2024","32426","","Wallet - Crypto Wallet - Send Coin #2","","","","User can add new address to send coin internal/external with destination tag / memo id [MOBILE2-2525] | PROD_NGT",""
"passed","Thu Apr 18 18:10:33 UTC 2024","Thu Apr 18 18:10:45 UTC 2024","11886","","Home","","","","User successfully redirected to live chat web view when click live chat entrypoint on homecircle [MOBILE2-1535] | PROD_NGT",""
"broken","Thu Apr 18 18:31:39 UTC 2024","Thu Apr 18 18:32:48 UTC 2024","69354","","Profile - Setup Withdrawal Account","","","","User successfully save and delete account number [MOBILE2-1153 MOBILE2-1180] | PROD_NGT",""
"passed","Thu Apr 18 19:12:40 UTC 2024","Thu Apr 18 19:13:29 UTC 2024","48906","","Wallet - Transaction History - General","","","","User can see a list of all my transactions history [MOBILE2-2647] | PROD_NGT",""
"passed","Thu Apr 18 18:46:15 UTC 2024","Thu Apr 18 18:46:57 UTC 2024","41449","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin internal/external when input wrong OTP/Email code [MOBILE2-2275] | PROD_NGT",""
"passed","Thu Apr 18 18:25:14 UTC 2024","Thu Apr 18 18:25:34 UTC 2024","19843","","Profile - Phone Number","","","","User successfully add phone number use a number with another country code [MOBILE2-128] | PROD_NGT",""
"passed","Thu Apr 18 19:00:58 UTC 2024","Thu Apr 18 19:01:28 UTC 2024","30223","","Wallet - IDR Wallet - Deposit","","","","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228 MOBILE2-183] | PROD_NGT",""
"passed","Thu Apr 18 18:50:51 UTC 2024","Thu Apr 18 18:51:44 UTC 2024","52920","","Wallet - IDR Wallet - Deposit","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | PROD_NGT",""
"passed","Thu Apr 18 18:46:57 UTC 2024","Thu Apr 18 18:47:29 UTC 2024","31858","","Wallet - Crypto Wallet - Send Coin #2","","","","User can delete address send coin internal/external from edit address book [MOBILE2-2244] | PROD_NGT",""
"passed","Thu Apr 18 18:13:37 UTC 2024","Thu Apr 18 18:14:07 UTC 2024","29734","","Login","","","","User successfully sign in using 2FA [MOBILE2-283] | PROD_NGT",""
"passed","Thu Apr 18 18:29:33 UTC 2024","Thu Apr 18 18:30:19 UTC 2024","46052","","Profile","","","","User successfully logout from application when click log out button [MOBILE2-1127 MOBILE2-1281] | PROD_NGT",""
"passed","Thu Apr 18 18:57:31 UTC 2024","Thu Apr 18 18:58:33 UTC 2024","62331","","Wallet - IDR Wallet - Deposit","","","","(VIP) User successfully submit deposit with virtual account except BCA/Mandiri [MOBILE2-1777] | PROD_NGT",""
