"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 12 11:09:20 UTC 2024","Fri Jan 12 11:09:29 UTC 2024","8559","","Wallet Home","","","","User unsuccessfully access wallet page before login and can not see asset summary section [MOBILE2-2533 MOBILE2-2831]",""
"passed","Fri Jan 12 10:18:21 UTC 2024","Fri Jan 12 10:18:52 UTC 2024","31132","","Profile - Google Authenticator","","","","User successfully deactivated and activated google authenticator [MOBILE2-1186 MOBILE2-1187]",""
"passed","Fri Jan 12 10:30:05 UTC 2024","Fri Jan 12 10:30:09 UTC 2024","4183","","Sign Up","","","","User can click sign up [MOBILE2-1379]",""
"passed","Fri Jan 12 11:13:12 UTC 2024","Fri Jan 12 11:13:46 UTC 2024","34130","","Wallet Home","","","","User should be able to see Owned asset for Crypto when click Crypto tab [MOBILE2-2547]",""
"passed","Fri Jan 12 10:43:00 UTC 2024","Fri Jan 12 10:43:29 UTC 2024","29375","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP MANDIRI) User successfully submit deposit 25mio to 49,999mio with BSS VA [MOBILE2-1770]",""
"passed","Fri Jan 12 11:12:00 UTC 2024","Fri Jan 12 11:12:40 UTC 2024","40726","","Wallet Home","","","","User should be able to see IDR, USD, Crypto, US Stocks card on the Wallet Card Carousel section [MOBILE2-2542 MOBILE2-2543 MOBILE2-2544 MOBILE2-2545]",""
"broken","Fri Jan 12 10:34:39 UTC 2024","Fri Jan 12 10:35:58 UTC 2024","79501","","Wallet - Crypto Wallet - Send Coin","","","","User cant send coin when doesnt have phone number and unverified [MOBILE2-2227]",""
"passed","Fri Jan 12 10:40:36 UTC 2024","Fri Jan 12 10:41:33 UTC 2024","56905","","Wallet - IDR Wallet - Deposit","","","","(VIP-MANDIRI) User successfully submit deposit Rp10.000 to 24,999mio with Mandiri VA [MOBILE2-1769]",""
"passed","Fri Jan 12 10:27:41 UTC 2024","Fri Jan 12 10:27:43 UTC 2024","2421","","Profile","","","","User successfully redirected to live chat web view page when click live chat menu [MOBILE2-1051]",""
"passed","Fri Jan 12 10:12:05 UTC 2024","Fri Jan 12 10:12:13 UTC 2024","8407","","Forgot Password","","","","User successfully submit forget/reset password [MOBILE2-310]",""
"broken","Fri Jan 12 10:36:41 UTC 2024","Fri Jan 12 10:37:24 UTC 2024","42839","","Wallet - Crypto Wallet - Send Coin","","","","User unsuccessfully send coin when input amount coin above the maximum quantity to send [MOBILE2-2281]",""
"broken","Fri Jan 12 11:00:58 UTC 2024","Fri Jan 12 11:01:41 UTC 2024","43411","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw Bank transfer/Ewallet/Internal Transfer when input amount above the maximum withdraw [MOBILE2-2204]",""
"passed","Fri Jan 12 10:27:43 UTC 2024","Fri Jan 12 10:27:46 UTC 2024","2488","","Profile","","","","User successfully redirected to help center page when click help center menu [MOBILE2-1052]",""
"broken","Fri Jan 12 11:00:15 UTC 2024","Fri Jan 12 11:00:58 UTC 2024","42796","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw internal transfer/Bank transfer/Ewallet when input amount is under minimum [MOBILE2-2203]",""
"broken","Fri Jan 12 11:01:41 UTC 2024","Fri Jan 12 11:02:24 UTC 2024","42788","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw internal transfer/Bank transfer/Ewallet when input amount above available balance [MOBILE2-2205]",""
"broken","Fri Jan 12 10:53:53 UTC 2024","Fri Jan 12 10:55:10 UTC 2024","76723","","Wallet - IDR Wallet - Withdraw","","","","User cant withdraw IDR when doesnt have phone number and unverified [MOBILE2-2091]",""
"broken","Fri Jan 12 10:45:59 UTC 2024","Fri Jan 12 10:46:42 UTC 2024","42679","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR when have phone number but unverified [MOBILE2-188]",""
"passed","Fri Jan 12 10:30:26 UTC 2024","Fri Jan 12 10:30:59 UTC 2024","32873","","Sign Up","","","","User can not sign up if it doesnt meet all validation password [MOBILE2-15]",""
"passed","Fri Jan 12 10:43:59 UTC 2024","Fri Jan 12 10:44:40 UTC 2024","40955","","Wallet - IDR Wallet - Deposit","","","","(VIP) User successfully submit deposit with virtual account except BCA/Mandiri [MOBILE2-1777]",""
"passed","Fri Jan 12 10:23:50 UTC 2024","Fri Jan 12 10:24:16 UTC 2024","25679","","Profile - Phone Number","","","","User successfully add phone number using old phone number [MOBILE2-130]",""
