"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Wallet Transaction Detail / History","","0","13","0","0","0"
"","Profile - Setup Withdrawal Account","","0","0","5","0","0"
"","Wallet Home","","0","0","11","0","0"
"","Deeplink Reset Password","","1","0","0","0","0"
"","Profile","","0","0","8","0","0"
"","Home","","0","1","6","0","0"
"","Wallet Deposit IDR","","0","1","23","0","0"
"","Wallet Withdraw IDR","","0","0","10","0","0"
"","Profile - My Account","","0","0","2","0","0"
"","Wallet Receive Coin","","0","0","2","0","0"
"","Profile - Google Authenticator","","0","0","1","0","0"
"","Login","","0","0","3","0","0"
"","Forgot Password","","0","0","2","0","0"
"","Wallet My Assets","","0","0","5","0","0"
"","Profile - Phone Number","","0","0","4","0","0"
"","Profile - PIN","","0","0","1","0","0"
"","Wallet - Staking","","0","0","4","0","0"
"","Sign Up","","0","0","3","0","0"
"","Profile - Change Password","","0","0","3","0","0"
"","Market - Price Alert","","0","1","0","0","0"
"","Wallet Send Coin","","0","0","4","0","0"
"","Home Non-login","","0","0","1","0","0"
