"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 05 04:40:14 UTC 2024","Fri Apr 05 04:40:52 UTC 2024","37829","","Wallet Transaction Detail / History","","","","User should be able see the status deposit via e-wallet is cancelled [MOBILE2-1633] | PROD_NGT",""
"passed","Fri Apr 05 04:06:43 UTC 2024","Fri Apr 05 04:07:00 UTC 2024","17110","","Profile - Setup Withdrawal Account","","","","User should not be able to add same bank and account number [MOBILE2-1157] | PROD_NGT",""
"passed","Fri Apr 05 04:46:13 UTC 2024","Fri Apr 05 04:46:18 UTC 2024","4894","","Wallet Home","","","","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-638] | PROD_NGT",""
"failed","Fri Apr 05 03:45:33 UTC 2024","Fri Apr 05 03:45:51 UTC 2024","17476","","Deeplink Reset Password","","","","User access deeplink reset password | PROD_ISS",""
"broken","Fri Apr 05 04:37:04 UTC 2024","Fri Apr 05 04:37:42 UTC 2024","37782","","Wallet Transaction Detail / History","","","","User should be able see the status deposit via Bank Transfer is Canceled [MOBILE2-180] | PROD_NGT",""
"passed","Fri Apr 05 04:03:56 UTC 2024","Fri Apr 05 04:04:00 UTC 2024","4012","","Profile","","","","User successfully redirected to referrals page when click referral program menu [MOBILE2-1131] | PROD_NGT",""
"passed","Fri Apr 05 04:45:56 UTC 2024","Fri Apr 05 04:46:03 UTC 2024","6956","","Wallet Home","","","","User successfully redirected to total IDR balance when click balance [MOBILE2-1075 MOBILE2-1080 MOBILE2-1579 MOBILE2-2337] | PROD_ISS",""
"passed","Fri Apr 05 03:47:55 UTC 2024","Fri Apr 05 03:47:59 UTC 2024","4133","","Home","","","","Users successfully redirected to market page when click ""See All"" [MOBILE2-332 MOBILE2-1529] | PROD_NGT",""
"passed","Fri Apr 05 04:03:08 UTC 2024","Fri Apr 05 04:03:42 UTC 2024","33882","","Profile","","","","User should be able to see name and user ID on header [MOBILE2-1119] | PROD_NGT",""
"passed","Fri Apr 05 04:13:39 UTC 2024","Fri Apr 05 04:14:27 UTC 2024","47382","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1766] | PROD_ISS",""
"passed","Fri Apr 05 04:47:00 UTC 2024","Fri Apr 05 04:47:07 UTC 2024","7423","","Wallet Home","","","","User should be able to see open order balance [MOBILE2-1583] | PROD_ISS",""
"broken","Fri Apr 05 04:38:19 UTC 2024","Fri Apr 05 04:38:57 UTC 2024","37689","","Wallet Transaction Detail / History","","","","User should be able see the status deposit via Bank Transfer is Failed [MOBILE2-182] | PROD_NGT",""
"passed","Fri Apr 05 03:48:12 UTC 2024","Fri Apr 05 03:48:18 UTC 2024","5421","","Home","","","","User successfully redirected to referral page when click referral entrypoint on homecircle [MOBILE2-1534] | PROD_NGT",""
"broken","Fri Apr 05 04:40:52 UTC 2024","Fri Apr 05 04:41:30 UTC 2024","37864","","Wallet Transaction Detail / History","","","","User should be able see the status deposit via internal transfer is successful [MOBILE2-1384] | PROD_NGT",""
"passed","Fri Apr 05 04:03:54 UTC 2024","Fri Apr 05 04:03:56 UTC 2024","2410","","Profile","","","","User successfully redirected to help center page when click help center menu [MOBILE2-1052] | PROD_NGT",""
"passed","Fri Apr 05 04:49:50 UTC 2024","Fri Apr 05 04:50:02 UTC 2024","11803","","Wallet Withdraw IDR","","","","User can add withdraw method Transfer Bank on Withdraw Method page [MOBILE2-2102] | PROD_NGT",""
"broken","Fri Apr 05 04:35:56 UTC 2024","Fri Apr 05 04:37:04 UTC 2024","67554","","Wallet Transaction Detail / History","","","","User should be able see the status deposit via Bank Transfer is successful [MOBILE2-178 MOBILE2-247 MOBILE2-249] | PROD_NGT",""
