"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 07 08:02:16 UTC 2024","Wed Feb 07 08:02:33 UTC 2024","16706","","Trade Pro - Buy","","","","User can cancel open order [W2-856]",""
"passed","Wed Feb 07 08:01:00 UTC 2024","Wed Feb 07 08:01:14 UTC 2024","13825","","Trade Pro - Buy","","","","Users can no buy coin if enter a price greater or lesser 50% than market price [W2-870]",""
"passed","Wed Feb 07 08:06:18 UTC 2024","Wed Feb 07 08:06:31 UTC 2024","13134","","Trade Pro","","","","User can remove asset from favorite [W2-834]",""
"passed","Wed Feb 07 08:04:02 UTC 2024","Wed Feb 07 08:04:15 UTC 2024","12985","","Trade Pro - Sell","","","","Users can change the sell price by input manual [W2-902]",""
"passed","Wed Feb 07 08:05:16 UTC 2024","Wed Feb 07 08:05:28 UTC 2024","11867","","Trade Pro","","","","User can not change to lightning mode [W2-846]",""
"passed","Wed Feb 07 08:00:20 UTC 2024","Wed Feb 07 08:00:29 UTC 2024","9757","","Trade Pro - Buy","","","","User can not buy when not sign up/sign in [W2-866]",""
"passed","Wed Feb 07 08:02:58 UTC 2024","Wed Feb 07 08:03:08 UTC 2024","9367","","Trade Pro - Sell","","","","User can not sell when not sign up/sign in [W2-888]",""
"passed","Wed Feb 07 08:00:47 UTC 2024","Wed Feb 07 08:01:00 UTC 2024","12670","","Trade Pro - Buy","","","","User can not buy coin under minimum order [W2-868]",""
"passed","Wed Feb 07 08:02:33 UTC 2024","Wed Feb 07 08:02:55 UTC 2024","22181","","Trade Pro - Buy","","","","User can cancel all open order [W2-857]",""
"passed","Wed Feb 07 08:00:29 UTC 2024","Wed Feb 07 08:00:47 UTC 2024","17605","","Trade Pro - Buy","","","","User can not buy coin by amount (idr) if balance is insufficient [W2-865]",""
"passed","Wed Feb 07 08:05:35 UTC 2024","Wed Feb 07 08:05:48 UTC 2024","13236","","Trade Pro","","","","User can search by the coin name on market list (tab market/favorite) [W2-848]",""
"passed","Wed Feb 07 08:03:08 UTC 2024","Wed Feb 07 08:03:24 UTC 2024","16245","","Trade Pro - Sell","","","","User can not sell coin if balance is insufficient [W2-887]",""
"passed","Wed Feb 07 08:03:24 UTC 2024","Wed Feb 07 08:03:37 UTC 2024","12867","","Trade Pro - Sell","","","","User can not sell coin under minimum order [W2-889]",""
"passed","Wed Feb 07 08:04:40 UTC 2024","Wed Feb 07 08:04:51 UTC 2024","11029","","Trade Pro - Sell","","","","Users can change order type from market order to limit order [W2-892]",""
"passed","Wed Feb 07 08:02:06 UTC 2024","Wed Feb 07 08:02:16 UTC 2024","10559","","Trade Pro - Buy","","","","Users can change order type from limit order to market order [W2-871]",""
"passed","Wed Feb 07 08:01:39 UTC 2024","Wed Feb 07 08:01:52 UTC 2024","13405","","Trade Pro - Buy","","","","Users can change the buy price by clicking +/- [W2-883]",""
"passed","Wed Feb 07 08:05:48 UTC 2024","Wed Feb 07 08:05:56 UTC 2024","8037","","Trade Pro","","","","Users cannot search by coin name, when the coin is not in the list tab market (Market List) [W2-849]",""
"passed","Wed Feb 07 08:00:05 UTC 2024","Wed Feb 07 08:00:17 UTC 2024","11699","","Sign In","","","","User can sign in with 2fa [W2-151]",""
"passed","Wed Feb 07 08:01:52 UTC 2024","Wed Feb 07 08:02:06 UTC 2024","13652","","Trade Pro - Buy","","","","Users can't enter manually the price, beyond the multiple [W2-1064]",""
"passed","Wed Feb 07 08:01:26 UTC 2024","Wed Feb 07 08:01:39 UTC 2024","13252","","Trade Pro - Buy","","","","Users can change the buy price by input manual [W2-882]",""
"passed","Wed Feb 07 08:05:56 UTC 2024","Wed Feb 07 08:06:06 UTC 2024","9900","","Trade Pro","","","","Users cannot search by coin name, when the coin is not in the list tab favorite (Market list) [W2-850]",""
"passed","Wed Feb 07 08:04:15 UTC 2024","Wed Feb 07 08:04:27 UTC 2024","12628","","Trade Pro - Sell","","","","Users can change the sell price by clicking +/- [W2-903]",""
"passed","Wed Feb 07 08:06:06 UTC 2024","Wed Feb 07 08:06:18 UTC 2024","11771","","Trade Pro","","","","User can add asset to favorite [W2-833]",""
"passed","Wed Feb 07 08:04:55 UTC 2024","Wed Feb 07 08:05:16 UTC 2024","20674","","Trade Pro","","","","User can click on the mode switcher to lightning [W2-832]",""
"passed","Wed Feb 07 08:04:27 UTC 2024","Wed Feb 07 08:04:40 UTC 2024","12945","","Trade Pro - Sell","","","","Users can't enter manually the price, beyond the multiple [W2-1065]",""
"passed","Wed Feb 07 08:06:31 UTC 2024","Wed Feb 07 08:06:45 UTC 2024","14295","","Trade Pro","","","","User can change the coin on that trading page [W2-835]",""
"passed","Wed Feb 07 08:03:50 UTC 2024","Wed Feb 07 08:04:02 UTC 2024","12091","","Trade Pro - Sell","","","","Users can change the sell price by orderbook [W2-890]",""
"passed","Wed Feb 07 08:05:28 UTC 2024","Wed Feb 07 08:05:35 UTC 2024","7123","","Trade Pro","","","","User can see market list [W2-847]",""
"passed","Wed Feb 07 08:03:37 UTC 2024","Wed Feb 07 08:03:50 UTC 2024","13062","","Trade Pro - Sell","","","","Users can not sell coin if enter a price greater or lesser than 20% than market price [W2-891]",""
"passed","Wed Feb 07 08:01:14 UTC 2024","Wed Feb 07 08:01:26 UTC 2024","11935","","Trade Pro - Buy","","","","Users can change the buy price by orderbook [W2-869]",""
