"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 10 16:37:10 WIB 2023","Sun Dec 10 16:37:29 WIB 2023","18752","","Wallet Send Coin","","Wallet Send Coin","User unsuccessfully send coin when input amount coin is under minimum [MOBILE2-2277]","User unsuccessfully send coin when input amount coin is under minimum [MOBILE2-2277]",""
"passed","Sun Dec 10 16:32:17 WIB 2023","Sun Dec 10 16:32:31 WIB 2023","14619","","Wallet Deposit IDR","","Wallet Deposit IDR","User successfully see IDR Deposit Address and QR Code for Internal Transfer [MOBILE2-224]","User successfully see IDR Deposit Address and QR Code for Internal Transfer [MOBILE2-224]",""
"passed","Sun Dec 10 16:24:01 WIB 2023","Sun Dec 10 16:24:19 WIB 2023","18127","","Profile - Change Password","","Profile - Change Password","User cant change password if it doesnt meet all validation password [MOBILE2-1198]","User cant change password if it doesnt meet all validation password [MOBILE2-1198]",""
"passed","Sun Dec 10 16:40:58 WIB 2023","Sun Dec 10 16:40:59 WIB 2023","678","","Wallet Home","","Wallet Home","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087]","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087]",""
"passed","Sun Dec 10 16:30:32 WIB 2023","Sun Dec 10 16:30:55 WIB 2023","22978","","Wallet Deposit IDR","","Wallet Deposit IDR","(VIP-MANDIRI) User successfully submit deposit with Transfer Bank [MOBILE2-1768]","(VIP-MANDIRI) User successfully submit deposit with Transfer Bank [MOBILE2-1768]",""
"broken","Sun Dec 10 16:21:49 WIB 2023","Sun Dec 10 16:22:10 WIB 2023","20561","","Home","","Home","User successfully redirected to referral page when click referral entrypoint on homecircle [MOBILE2-1534]","User successfully redirected to referral page when click referral entrypoint on homecircle [MOBILE2-1534]",""
"broken","Sun Dec 10 16:21:29 WIB 2023","Sun Dec 10 16:21:49 WIB 2023","20538","","Home","","Home","User successfully redirected to rekuiz page when click rekuiz entrypoint on homecircle [MOBILE2-1533]","User successfully redirected to rekuiz page when click rekuiz entrypoint on homecircle [MOBILE2-1533]",""
"passed","Sun Dec 10 16:27:51 WIB 2023","Sun Dec 10 16:27:51 WIB 2023","338","","Profile","","Profile","User successfully redirected to mission page when click mission menu [MOBILE2-1672]","User successfully redirected to mission page when click mission menu [MOBILE2-1672]",""
"passed","Sun Dec 10 16:29:02 WIB 2023","Sun Dec 10 16:29:04 WIB 2023","2669","","Sign Up","","Sign Up","User can click sign up [MOBILE2-1379]","User can click sign up [MOBILE2-1379]",""
"passed","Sun Dec 10 16:40:47 WIB 2023","Sun Dec 10 16:40:58 WIB 2023","10452","","Wallet Home","","Wallet Home","User successfully redirected to receive coin page when click receive coin [MOBILE2-643]","User successfully redirected to receive coin page when click receive coin [MOBILE2-643]",""
"passed","Sun Dec 10 16:42:00 WIB 2023","Sun Dec 10 16:42:04 WIB 2023","3878","","Wallet Withdraw IDR","","Wallet Withdraw IDR","User cant submit withdraw internal transfer when input invalid address [MOBILE2-2195]","User cant submit withdraw internal transfer when input invalid address [MOBILE2-2195]",""
"passed","Sun Dec 10 16:39:31 WIB 2023","Sun Dec 10 16:39:40 WIB 2023","9266","","Wallet Transaction Detail / History","","Wallet Transaction Detail / History","User should be able see the status withdraw via Internal Transfer is successful [MOBILE2-250]","User should be able see the status withdraw via Internal Transfer is successful [MOBILE2-250]",""
"passed","Sun Dec 10 16:25:29 WIB 2023","Sun Dec 10 16:25:45 WIB 2023","15889","","Profile - Google Authenticator","","Profile - Google Authenticator","User successfully deactivated and activated google authenticator [MOBILE2-1186 MOBILE2-1187]","User successfully deactivated and activated google authenticator [MOBILE2-1186 MOBILE2-1187]",""
"passed","Sun Dec 10 16:38:08 WIB 2023","Sun Dec 10 16:38:15 WIB 2023","7637","","Wallet Transaction Detail / History","","Wallet Transaction Detail / History","User should be able see the status deposit via Bank Transfer is Canceled [MOBILE2-180]","User should be able see the status deposit via Bank Transfer is Canceled [MOBILE2-180]",""
"broken","Sun Dec 10 16:34:34 WIB 2023","Sun Dec 10 16:34:54 WIB 2023","20412","","Wallet My Assets","","Wallet My Assets","User should be able to see open order balance [MOBILE2-2342]","User should be able to see open order balance [MOBILE2-2342]",""
"passed","Sun Dec 10 16:33:33 WIB 2023","Sun Dec 10 16:33:50 WIB 2023","16685","","Wallet Deposit IDR","","Wallet Deposit IDR","User cant deposit by E-Wallet (DANA) with above the maximum deposit limit [MOBILE2-242]","User cant deposit by E-Wallet (DANA) with above the maximum deposit limit [MOBILE2-242]",""
"passed","Sun Dec 10 16:29:15 WIB 2023","Sun Dec 10 16:29:31 WIB 2023","16459","","Sign Up","","Sign Up","User can not sign up if it doesnt meet all validation password [MOBILE2-15]","User can not sign up if it doesnt meet all validation password [MOBILE2-15]",""
"passed","Sun Dec 10 16:38:58 WIB 2023","Sun Dec 10 16:39:10 WIB 2023","11306","","Wallet Transaction Detail / History","","Wallet Transaction Detail / History","User should be able see the status deposit via e-wallet is expired [MOBILE2-186]","User should be able see the status deposit via e-wallet is expired [MOBILE2-186]",""
"passed","Sun Dec 10 16:27:51 WIB 2023","Sun Dec 10 16:27:52 WIB 2023","442","","Profile","","Profile","User successfully redirected to set up withdrawal account page when click set up withdrawal account menu [MOBILE2-1049]","User successfully redirected to set up withdrawal account page when click set up withdrawal account menu [MOBILE2-1049]",""
"broken","Sun Dec 10 16:33:57 WIB 2023","Sun Dec 10 16:34:34 WIB 2023","37376","","Wallet My Assets","","Wallet My Assets","User should be able to see total coin asset [MOBILE2-1103]","User should be able to see total coin asset [MOBILE2-1103]",""
"passed","Sun Dec 10 16:38:15 WIB 2023","Sun Dec 10 16:38:27 WIB 2023","11325","","Wallet Transaction Detail / History","","Wallet Transaction Detail / History","User should be able see the status deposit via Bank Transfer is Expired [MOBILE2-181]","User should be able see the status deposit via Bank Transfer is Expired [MOBILE2-181]",""
"passed","Sun Dec 10 16:23:35 WIB 2023","Sun Dec 10 16:23:46 WIB 2023","10930","","Login","","Login","User successfully sign in using email and password (non-2FA) [MOBILE2-1380 MOBILE2-279]","User successfully sign in using email and password (non-2FA) [MOBILE2-1380 MOBILE2-279]",""
"passed","Sun Dec 10 16:27:54 WIB 2023","Sun Dec 10 16:27:55 WIB 2023","1029","","Profile","","Profile","User successfully logout from application when click log out button [MOBILE2-1127 MOBILE2-1281]","User successfully logout from application when click log out button [MOBILE2-1127 MOBILE2-1281]",""
"passed","Sun Dec 10 16:40:58 WIB 2023","Sun Dec 10 16:40:58 WIB 2023","700","","Wallet Home","","Wallet Home","User should be able to see open order balance [MOBILE2-1583]","User should be able to see open order balance [MOBILE2-1583]",""
"passed","Sun Dec 10 16:28:44 WIB 2023","Sun Dec 10 16:28:50 WIB 2023","5711","","Profile - Setup Withdrawal Account","","Profile - Setup Withdrawal Account","User successfully save and delete e-wallet number [MOBILE2-1164 MOBILE2-1179]","User successfully save and delete e-wallet number [MOBILE2-1164 MOBILE2-1179]",""
"passed","Sun Dec 10 16:41:40 WIB 2023","Sun Dec 10 16:42:00 WIB 2023","20209","","Wallet Withdraw IDR","","Wallet Withdraw IDR","User can add new address to withdraw internal transfer [MOBILE2-2192]","User can add new address to withdraw internal transfer [MOBILE2-2192]",""
"passed","Sun Dec 10 16:23:46 WIB 2023","Sun Dec 10 16:23:54 WIB 2023","8538","","Login","","Login","User successfully redirected to sign up page when click Sign Up [MOBILE2-297]","User successfully redirected to sign up page when click Sign Up [MOBILE2-297]",""
"passed","Sun Dec 10 16:40:45 WIB 2023","Sun Dec 10 16:40:46 WIB 2023","519","","Wallet Home","","Wallet Home","User successfully redirected to transfer from page when click deposit idr [MOBILE2-637]","User successfully redirected to transfer from page when click deposit idr [MOBILE2-637]",""
"passed","Sun Dec 10 16:30:04 WIB 2023","Sun Dec 10 16:30:06 WIB 2023","2638","","Wallet Deposit IDR","","Wallet Deposit IDR","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765]","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765]",""
"passed","Sun Dec 10 16:31:28 WIB 2023","Sun Dec 10 16:31:37 WIB 2023","8887","","Wallet Deposit IDR","","Wallet Deposit IDR","(Non-VIP MANDIRI) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1772]","(Non-VIP MANDIRI) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1772]",""
"passed","Sun Dec 10 16:37:29 WIB 2023","Sun Dec 10 16:37:32 WIB 2023","3521","","Wallet Send Coin","","Wallet Send Coin","User unsuccessfully send coin when input amount coin above the maximum quantity to send [MOBILE2-2281]","User unsuccessfully send coin when input amount coin above the maximum quantity to send [MOBILE2-2281]",""
"passed","Sun Dec 10 16:30:29 WIB 2023","Sun Dec 10 16:30:32 WIB 2023","2560","","Wallet Deposit IDR","","Wallet Deposit IDR","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767]","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767]",""
"broken","Sun Dec 10 16:20:17 WIB 2023","Sun Dec 10 16:20:48 WIB 2023","30463","","Home","","Home","User should see section favorite, market, and learning hub [MOBILE2-334 MOBILE2-343 MOBILE2-344]","User should see section favorite, market, and learning hub [MOBILE2-334 MOBILE2-343 MOBILE2-344]",""
"passed","Sun Dec 10 16:40:12 WIB 2023","Sun Dec 10 16:40:22 WIB 2023","9521","","Wallet Transaction Detail / History","","Wallet Transaction Detail / History","User should be able see the status withdraw via Ewallet is is failed [MOBILE2-261]","User should be able see the status withdraw via Ewallet is is failed [MOBILE2-261]",""
"passed","Sun Dec 10 16:31:05 WIB 2023","Sun Dec 10 16:31:23 WIB 2023","18355","","Wallet Deposit IDR","","Wallet Deposit IDR","(Non-VIP MANDIRI) User successfully submit deposit Rp10.000 to 24,999mio with Mandiri VA [MOBILE2-1771]","(Non-VIP MANDIRI) User successfully submit deposit Rp10.000 to 24,999mio with Mandiri VA [MOBILE2-1771]",""
"broken","Sun Dec 10 16:42:04 WIB 2023","Sun Dec 10 16:42:25 WIB 2023","21621","","Wallet Withdraw IDR","","Wallet Withdraw IDR","User cant submit withdraw internal transfer when input own address [MOBILE2-2196]","User cant submit withdraw internal transfer when input own address [MOBILE2-2196]",""
"passed","Sun Dec 10 16:30:06 WIB 2023","Sun Dec 10 16:30:21 WIB 2023","14520","","Wallet Deposit IDR","","Wallet Deposit IDR","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 99,999mio with BSS VA [MOBILE2-1707]","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 99,999mio with BSS VA [MOBILE2-1707]",""
"passed","Sun Dec 10 16:25:52 WIB 2023","Sun Dec 10 16:26:06 WIB 2023","13585","","Profile - My Account","","Profile - My Account","Unverified user successfully redirected to verify account page when click verify now buttton [MOBILE2-1135]","Unverified user successfully redirected to verify account page when click verify now buttton [MOBILE2-1135]",""
"passed","Sun Dec 10 16:42:47 WIB 2023","Sun Dec 10 16:42:49 WIB 2023","2434","","Wallet Withdraw IDR","","Wallet Withdraw IDR","User unsuccessfully withdraw Bank transfer/Ewallet/Internal Transfer when input amount above the maximum withdraw [MOBILE2-2204]","User unsuccessfully withdraw Bank transfer/Ewallet/Internal Transfer when input amount above the maximum withdraw [MOBILE2-2204]",""
"passed","Sun Dec 10 16:32:53 WIB 2023","Sun Dec 10 16:32:59 WIB 2023","6569","","Wallet Deposit IDR","","Wallet Deposit IDR","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232]","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232]",""
"passed","Sun Dec 10 16:40:46 WIB 2023","Sun Dec 10 16:40:47 WIB 2023","1072","","Wallet Home","","Wallet Home","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-638]","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-638]",""
"passed","Sun Dec 10 16:33:01 WIB 2023","Sun Dec 10 16:33:17 WIB 2023","16228","","Wallet Deposit IDR","","Wallet Deposit IDR","User cant deposit IDR by bank transfer with under minimum amount [MOBILE2-233]","User cant deposit IDR by bank transfer with under minimum amount [MOBILE2-233]",""
"passed","Sun Dec 10 16:36:02 WIB 2023","Sun Dec 10 16:36:14 WIB 2023","12304","","Wallet Receive Coin","","Wallet Receive Coin","User successfully receive coins from Internal [MOBILE2-1621]","User successfully receive coins from Internal [MOBILE2-1621]",""
"passed","Sun Dec 10 16:36:14 WIB 2023","Sun Dec 10 16:36:19 WIB 2023","4370","","Wallet Receive Coin","","Wallet Receive Coin","User successfully receive coins from external [MOBILE2-1622]","User successfully receive coins from external [MOBILE2-1622]",""
"passed","Sun Dec 10 16:27:53 WIB 2023","Sun Dec 10 16:27:54 WIB 2023","1073","","Profile","","Profile","User successfully redirected to referrals page when click referral program menu [MOBILE2-1131]","User successfully redirected to referrals page when click referral program menu [MOBILE2-1131]",""
"passed","Sun Dec 10 16:27:02 WIB 2023","Sun Dec 10 16:27:10 WIB 2023","7795","","Profile - Phone Number","","Profile - Phone Number","User unsuccesfully add a phone number if phone number has been registered [MOBILE2-1751]","User unsuccesfully add a phone number if phone number has been registered [MOBILE2-1751]",""
"passed","Sun Dec 10 16:26:44 WIB 2023","Sun Dec 10 16:26:50 WIB 2023","5801","","Profile - Phone Number","","Profile - Phone Number","User successfully add phone number use a number with another country code [MOBILE2-128]","User successfully add phone number use a number with another country code [MOBILE2-128]",""
"passed","Sun Dec 10 16:40:59 WIB 2023","Sun Dec 10 16:41:00 WIB 2023","902","","Wallet Home","","Wallet Home","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-1088]","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-1088]",""
"passed","Sun Dec 10 16:26:21 WIB 2023","Sun Dec 10 16:26:22 WIB 2023","1695","","Profile - My Account","","Profile - My Account","User successfully redirected to live chat web view page when click live chat here link [MOBILE2-1137]","User successfully redirected to live chat web view page when click live chat here link [MOBILE2-1137]",""
"broken","Sun Dec 10 16:21:08 WIB 2023","Sun Dec 10 16:21:29 WIB 2023","20523","","Home","","Home","User successfully redirected to staking page when click staking entrypoint on homecircle [MOBILE2-1532]","User successfully redirected to staking page when click staking entrypoint on homecircle [MOBILE2-1532]",""
"passed","Sun Dec 10 16:22:31 WIB 2023","Sun Dec 10 16:22:35 WIB 2023","4403","","Home","","Home","User can successfully redirected to the Info & Promo webview page when click “See all” CTA [MOBILE2-349]","User can successfully redirected to the Info & Promo webview page when click “See all” CTA [MOBILE2-349]",""
"passed","Sun Dec 10 16:27:52 WIB 2023","Sun Dec 10 16:27:52 WIB 2023","395","","Profile","","Profile","User successfully redirected to security page when click security menu [MOBILE2-1050]","User successfully redirected to security page when click security menu [MOBILE2-1050]",""
