"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 18 20:09:44 WIB 2023","Mon Dec 18 20:09:46 WIB 2023","2053","","Wallet Deposit IDR","","Wallet Deposit IDR","User cant deposit by E-Wallet (OVO) with under minimum amount [MOBILE2-234]","User cant deposit by E-Wallet (OVO) with under minimum amount [MOBILE2-234]",""
"passed","Mon Dec 18 20:16:51 WIB 2023","Mon Dec 18 20:17:05 WIB 2023","14021","","Wallet Withdraw IDR","","Wallet Withdraw IDR","User cant withdraw IDR when doesnt have phone number and unverified [MOBILE2-2091]","User cant withdraw IDR when doesnt have phone number and unverified [MOBILE2-2091]",""
"passed","Mon Dec 18 20:03:41 WIB 2023","Mon Dec 18 20:03:42 WIB 2023","518","","Profile","","Profile","User successfully redirected to set up withdrawal account page when click set up withdrawal account menu [MOBILE2-1049]","User successfully redirected to set up withdrawal account page when click set up withdrawal account menu [MOBILE2-1049]",""
"passed","Mon Dec 18 20:03:30 WIB 2023","Mon Dec 18 20:03:41 WIB 2023","10349","","Profile","","Profile","User should be able to see name and user ID on header [MOBILE2-1119]","User should be able to see name and user ID on header [MOBILE2-1119]",""
"passed","Mon Dec 18 19:58:30 WIB 2023","Mon Dec 18 19:58:52 WIB 2023","22832","","Forgot Password","","Forgot Password","User successfully submit forget/reset password [MOBILE2-310]","User successfully submit forget/reset password [MOBILE2-310]",""
"passed","Mon Dec 18 20:11:04 WIB 2023","Mon Dec 18 20:11:06 WIB 2023","1558","","Wallet My Assets","","Wallet My Assets","User successfully redirected to receive coin page when click receive [MOBILE2-1110]","User successfully redirected to receive coin page when click receive [MOBILE2-1110]",""
"passed","Mon Dec 18 20:03:44 WIB 2023","Mon Dec 18 20:03:58 WIB 2023","14014","","Profile","","Profile","User successfully logout from application when click log out button [MOBILE2-1127 MOBILE2-1281]","User successfully logout from application when click log out button [MOBILE2-1127 MOBILE2-1281]",""
"passed","Mon Dec 18 20:05:27 WIB 2023","Mon Dec 18 20:05:37 WIB 2023","10544","","Sign Up","","Sign Up","User can not sign up if email invalid [MOBILE2-16]","User can not sign up if email invalid [MOBILE2-16]",""
"passed","Mon Dec 18 20:01:53 WIB 2023","Mon Dec 18 20:02:08 WIB 2023","14886","","Profile - My Account","","Profile - My Account","User can see detail information account (Verified Account) [MOBILE2-1054]","User can see detail information account (Verified Account) [MOBILE2-1054]",""
"passed","Mon Dec 18 20:14:51 WIB 2023","Mon Dec 18 20:15:00 WIB 2023","9469","","Wallet Transaction Detail / History","","Wallet Transaction Detail / History","User should be able see the status withdraw via Internal Transfer is successful [MOBILE2-250]","User should be able see the status withdraw via Internal Transfer is successful [MOBILE2-250]",""
"passed","Mon Dec 18 20:03:42 WIB 2023","Mon Dec 18 20:03:43 WIB 2023","296","","Profile","","Profile","User successfully redirected to help center page when click help center menu [MOBILE2-1052]","User successfully redirected to help center page when click help center menu [MOBILE2-1052]",""
