"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 29 23:13:00 WIB 2024","Mon Jan 29 23:13:19 WIB 2024","18283","","Wallet Transaction Detail / History","","","","User should be able see the status withdraw via Bank Transfer is successful [MOBILE2-253]",""
"passed","Mon Jan 29 22:53:50 WIB 2024","Mon Jan 29 22:53:55 WIB 2024","5417","","Home","","","","User can successfully redirected to the Info & Promo webview page when click “See all” CTA and click a banner [MOBILE2-349 MOBILE2-350]",""
"passed","Mon Jan 29 23:07:53 WIB 2024","Mon Jan 29 23:08:18 WIB 2024","24855","","Wallet My Assets","","","","User should be able to see total coin asset [MOBILE2-1103]",""
"passed","Mon Jan 29 22:53:43 WIB 2024","Mon Jan 29 22:53:44 WIB 2024","409","","Home","","","","Users successfully redirected to market page when click ""See All"" [MOBILE2-332 MOBILE2-1529]",""
"passed","Mon Jan 29 23:11:10 WIB 2024","Mon Jan 29 23:11:22 WIB 2024","12620","","Wallet Transaction Detail / History","","","","User should be able see the status deposit via Bank Transfer is Expired [MOBILE2-181]",""
"passed","Mon Jan 29 22:59:17 WIB 2024","Mon Jan 29 22:59:17 WIB 2024","335","","Profile","","","","User successfully redirected to help center page when click help center menu [MOBILE2-1052]",""
"passed","Mon Jan 29 23:11:59 WIB 2024","Mon Jan 29 23:12:08 WIB 2024","9555","","Wallet Transaction Detail / History","","","","User should be able see the status deposit via e-wallet is expired [MOBILE2-186]",""
"passed","Mon Jan 29 23:14:07 WIB 2024","Mon Jan 29 23:14:30 WIB 2024","22823","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-649]",""
"passed","Mon Jan 29 23:02:07 WIB 2024","Mon Jan 29 23:02:33 WIB 2024","25558","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765]",""
"passed","Mon Jan 29 22:55:55 WIB 2024","Mon Jan 29 22:55:59 WIB 2024","4547","","Profile - Change Password","","","","User successfully change and create new password (using 2FA) [MOBILE2-2357]",""
"passed","Mon Jan 29 23:13:32 WIB 2024","Mon Jan 29 23:13:46 WIB 2024","14259","","Wallet Transaction Detail / History","","","","User should be able see the status withdraw via Ewallet is is successful [MOBILE2-258]",""
"passed","Mon Jan 29 23:10:06 WIB 2024","Mon Jan 29 23:10:10 WIB 2024","4341","","Wallet Send Coin","","","","User unsuccessfully send coin when input amount coin above the maximum quantity to send [MOBILE2-2281]",""
"passed","Mon Jan 29 22:55:25 WIB 2024","Mon Jan 29 22:55:52 WIB 2024","27419","","Profile - Change Password","","","","User cant change password if it doesnt meet all validation password [MOBILE2-1198]",""
"passed","Mon Jan 29 23:03:01 WIB 2024","Mon Jan 29 23:03:04 WIB 2024","2921","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767]",""
"passed","Mon Jan 29 23:04:19 WIB 2024","Mon Jan 29 23:04:22 WIB 2024","2975","","Wallet Deposit IDR","","","","(Non-VIP MANDIRI) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1773]",""
"passed","Mon Jan 29 23:08:39 WIB 2024","Mon Jan 29 23:09:00 WIB 2024","21048","","Wallet Receive Coin","","","","User successfully receive coins from Internal [MOBILE2-1621]",""
"passed","Mon Jan 29 23:04:54 WIB 2024","Mon Jan 29 23:05:21 WIB 2024","26830","","Wallet Deposit IDR","","","","User cant deposit IDR when have phone number but unverified [MOBILE2-188]",""
"passed","Mon Jan 29 23:14:31 WIB 2024","Mon Jan 29 23:14:32 WIB 2024","973","","Wallet Home","","","","User successfully redirected to staking page when click staking [MOBILE2-1077 MOBILE2-1570]",""
"passed","Mon Jan 29 23:11:36 WIB 2024","Mon Jan 29 23:11:59 WIB 2024","22459","","Wallet Transaction Detail / History","","","","User should be able see the status deposit via e-wallet is successful [MOBILE2-185]",""
"passed","Mon Jan 29 23:06:48 WIB 2024","Mon Jan 29 23:07:16 WIB 2024","28283","","Wallet Deposit IDR","","","","User cant deposit IDR by Virtual Account with under minimum amount [MOBILE2-235]",""
"passed","Mon Jan 29 23:04:22 WIB 2024","Mon Jan 29 23:04:25 WIB 2024","2550","","Wallet Deposit IDR","","","","(Non-VIP) User successfully submit deposit with virtual account except BCA/Mandiri [MOBILE2-1774]",""
